mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time,hop
fig14_hencky.obj,4,0,greedy,0,1,1.38752,-1,1
fig14_hencky.obj,4,0,greedy,1,100023,1.3846,13167,1
fig14_hencky.obj,4,0,greedy,2,54230,1.37983,10415,1
fig14_hencky.obj,4,0,greedy,3,29558,1.37621,9005,1
fig14_hencky.obj,4,0,greedy,4,14201,1.37387,8594,1
fig14_hencky.obj,4,0,greedy,5,6490,1.37265,8314,1
fig14_hencky.obj,4,0,greedy,6,2870,1.37208,8230,1
fig14_hencky.obj,4,0,greedy,7,1235,1.3718,8195,1
fig14_hencky.obj,4,0,greedy,8,482,1.37169,8153,1
fig14_hencky.obj,4,0,greedy,9,186,1.37163,8129,1
fig14_hencky.obj,4,0,greedy,10,72,1.37159,8159,1
fig14_hencky.obj,4,0,greedy,11,34,1.37158,8167,1
fig14_hencky.obj,4,0,greedy,12,13,1.37158,8135,1
fig14_hencky.obj,4,0,greedy,13,5,1.37158,8136,1
fig14_hencky.obj,4,0,greedy,14,5,1.37158,8164,1
fig14_hencky.obj,4,0,greedy,15,3,1.37158,8185,1
fig14_hencky.obj,4,0,greedy,16,0,1.37158,8180,1
fig14_hencky.obj,4,0,random,0,1,1.38752,-1,1
fig14_hencky.obj,4,0,random,1,143839,1.37912,9743,1
fig14_hencky.obj,4,0,random,2,43288,1.37436,8728,1
fig14_hencky.obj,4,0,random,3,12738,1.37243,8488,1
fig14_hencky.obj,4,0,random,4,3368,1.37186,8417,1
fig14_hencky.obj,4,0,random,5,832,1.37171,8379,1
fig14_hencky.obj,4,0,random,6,210,1.37167,9381,1
fig14_hencky.obj,4,0,random,7,63,1.37166,11337,1
fig14_hencky.obj,4,0,random,8,12,1.37166,11577,1
fig14_hencky.obj,4,0,random,9,0,1.37166,11482,1
fig14_hencky.obj,4,0,heuristic,0,1,1.38752,-1,1
fig14_hencky.obj,4,0,heuristic,1,100023,1.3846,18222,1
fig14_hencky.obj,4,0,heuristic,2,54230,1.37983,14273,1
fig14_hencky.obj,4,0,heuristic,3,29558,1.37621,12659,1
fig14_hencky.obj,4,0,heuristic,4,14201,1.37387,12175,1
fig14_hencky.obj,4,0,heuristic,5,6490,1.37265,11832,1
fig14_hencky.obj,4,0,heuristic,6,2870,1.37208,11689,1
fig14_hencky.obj,4,0,heuristic,7,1235,1.3718,11444,1
fig14_hencky.obj,4,0,heuristic,8,482,1.37169,11423,1
fig14_hencky.obj,4,0,heuristic,9,186,1.37163,11524,1
fig14_hencky.obj,4,0,heuristic,10,72,1.37159,11439,1
fig14_hencky.obj,4,0,heuristic,11,34,1.37158,11632,1
fig14_hencky.obj,4,0,heuristic,12,13,1.37158,11376,1
fig14_hencky.obj,4,0,heuristic,13,5,1.37158,11568,1
fig14_hencky.obj,4,0,heuristic,14,5,1.37158,11531,1
fig14_hencky.obj,4,0,heuristic,15,3,1.37158,11587,1
fig14_hencky.obj,4,0,heuristic,16,0,1.37158,11594,1
fig14_hencky.obj,4,0,edge order,0,3,1.00201,-1,3
fig14_hencky.obj,4,0,edge order,1,73556,1.00152,15852,3
fig14_hencky.obj,4,0,edge order,2,12204,1.00148,15211,3
fig14_hencky.obj,4,0,edge order,3,1339,1.00148,15180,3
fig14_hencky.obj,4,0,edge order,4,123,1.00148,15621,3
fig14_hencky.obj,4,0,edge order,5,5,1.00148,15284,3
fig14_hencky.obj,4,0,edge order,6,0,1.00148,15041,3
fig14_hencky.obj,4,0,greedy,0,3,1.00201,-1,3
fig14_hencky.obj,4,0,greedy,1,62834,1.00158,17242,3
fig14_hencky.obj,4,0,greedy,2,17030,1.0015,15906,3
fig14_hencky.obj,4,0,greedy,3,4939,1.00149,11902,3
fig14_hencky.obj,4,0,greedy,4,1521,1.00148,11943,3
fig14_hencky.obj,4,0,greedy,5,446,1.00148,11244,3
fig14_hencky.obj,4,0,greedy,6,122,1.00148,11151,3
fig14_hencky.obj,4,0,greedy,7,41,1.00148,11107,3
fig14_hencky.obj,4,0,greedy,8,16,1.00148,11169,3
fig14_hencky.obj,4,0,greedy,9,3,1.00148,11175,3
fig14_hencky.obj,4,0,greedy,10,0,1.00148,11152,3
fig14_hencky.obj,4,0,random,0,3,1.00201,-1,3
fig14_hencky.obj,4,0,random,1,73136,1.00154,11880,3
fig14_hencky.obj,4,0,random,2,11339,1.0015,11464,3
fig14_hencky.obj,4,0,random,3,1813,1.00149,11360,3
fig14_hencky.obj,4,0,random,4,283,1.00149,11346,3
fig14_hencky.obj,4,0,random,5,47,1.00149,11349,3
fig14_hencky.obj,4,0,random,6,7,1.00149,11335,3
fig14_hencky.obj,4,0,random,7,0,1.00149,11358,3
fig14_hencky.obj,4,0,heuristic,0,3,1.00201,-1,3
fig14_hencky.obj,4,0,heuristic,1,62834,1.00158,13211,3
fig14_hencky.obj,4,0,heuristic,2,17030,1.0015,11819,3
fig14_hencky.obj,4,0,heuristic,3,4939,1.00149,11440,3
fig14_hencky.obj,4,0,heuristic,4,1521,1.00148,11328,3
fig14_hencky.obj,4,0,heuristic,5,446,1.00148,11326,3
fig14_hencky.obj,4,0,heuristic,6,122,1.00148,11312,3
fig14_hencky.obj,4,0,heuristic,7,41,1.00148,11327,3
fig14_hencky.obj,4,0,heuristic,8,16,1.00148,11322,3
fig14_hencky.obj,4,0,heuristic,9,3,1.00148,11320,3
fig14_hencky.obj,4,0,heuristic,10,0,1.00148,11329,3
fig14_hencky.obj,4,0,edge order,0,10,1.00046,-1,10
fig14_hencky.obj,4,0,edge order,1,55379,1.00035,11481,10
fig14_hencky.obj,4,0,edge order,2,6422,1.00034,11058,10
fig14_hencky.obj,4,0,edge order,3,405,1.00034,11018,10
fig14_hencky.obj,4,0,edge order,4,22,1.00034,11054,10
fig14_hencky.obj,4,0,edge order,5,0,1.00034,11010,10
fig14_hencky.obj,4,0,greedy,0,10,1.00046,-1,10
fig14_hencky.obj,4,0,greedy,1,49753,1.00035,12747,10
fig14_hencky.obj,4,0,greedy,2,9625,1.00034,11451,10
fig14_hencky.obj,4,0,greedy,3,2032,1.00034,11164,10
fig14_hencky.obj,4,0,greedy,4,486,1.00034,11086,10
fig14_hencky.obj,4,0,greedy,5,100,1.00034,11117,10
fig14_hencky.obj,4,0,greedy,6,17,1.00034,11098,10
fig14_hencky.obj,4,0,greedy,7,1,1.00034,11105,10
fig14_hencky.obj,4,0,greedy,8,0,1.00034,11086,10
fig14_hencky.obj,4,0,random,0,10,1.00046,-1,10
fig14_hencky.obj,4,0,random,1,55144,1.00035,11788,10
fig14_hencky.obj,4,0,random,2,5739,1.00034,11374,10
fig14_hencky.obj,4,0,random,3,618,1.00034,11346,10
fig14_hencky.obj,4,0,random,4,48,1.00034,11341,10
fig14_hencky.obj,4,0,random,5,5,1.00034,11372,10
fig14_hencky.obj,4,0,random,6,1,1.00034,11328,10
fig14_hencky.obj,4,0,random,7,0,1.00034,11336,10
fig14_hencky.obj,4,0,heuristic,0,10,1.00046,-1,10
fig14_hencky.obj,4,0,heuristic,1,49753,1.00035,12949,10
fig14_hencky.obj,4,0,heuristic,2,9625,1.00034,11623,10
fig14_hencky.obj,4,0,heuristic,3,2032,1.00034,11305,10
fig14_hencky.obj,4,0,heuristic,4,486,1.00034,11315,10
fig14_hencky.obj,4,0,heuristic,5,100,1.00034,11297,10
fig14_hencky.obj,4,0,heuristic,6,17,1.00034,11305,10
fig14_hencky.obj,4,0,heuristic,7,1,1.00034,11291,10
fig14_hencky.obj,4,0,heuristic,8,0,1.00034,11284,10
fig14_hencky.obj,4,1,edge order,0,1,0.256277,-1,1
fig14_hencky.obj,4,1,edge order,1,82160,0.256167,12310,1
fig14_hencky.obj,4,1,edge order,2,17752,0.256153,12764,1
fig14_hencky.obj,4,1,edge order,3,2216,0.256151,12840,1
fig14_hencky.obj,4,1,edge order,4,197,0.256151,12845,1
fig14_hencky.obj,4,1,edge order,5,13,0.256151,12833,1
fig14_hencky.obj,4,1,edge order,6,0,0.256151,12859,1
fig14_hencky.obj,4,1,greedy,0,1,0.256277,-1,1
fig14_hencky.obj,4,1,greedy,1,66468,0.256189,13169,1
fig14_hencky.obj,4,1,greedy,2,23067,0.256162,12910,1
fig14_hencky.obj,4,1,greedy,3,8733,0.256155,12904,1
fig14_hencky.obj,4,1,greedy,4,2947,0.256152,12937,1
fig14_hencky.obj,4,1,greedy,5,991,0.256151,12948,1
fig14_hencky.obj,4,1,greedy,6,324,0.256151,12893,1
fig14_hencky.obj,4,1,greedy,7,103,0.256151,12883,1
fig14_hencky.obj,4,1,greedy,8,29,0.256151,12909,1
fig14_hencky.obj,4,1,greedy,9,7,0.256151,12907,1
fig14_hencky.obj,4,1,greedy,10,1,0.256151,12910,1
fig14_hencky.obj,4,1,greedy,11,0,0.256151,12913,1
fig14_hencky.obj,4,1,random,0,1,0.256277,-1,1
fig14_hencky.obj,4,1,random,1,81912,0.256168,12755,1
fig14_hencky.obj,4,1,random,2,17138,0.256154,13157,1
fig14_hencky.obj,4,1,random,3,3013,0.256152,13255,1
fig14_hencky.obj,4,1,random,4,439,0.256151,13254,1
fig14_hencky.obj,4,1,random,5,68,0.256151,13270,1
fig14_hencky.obj,4,1,random,6,10,0.256151,13234,1
fig14_hencky.obj,4,1,random,7,0,0.256151,13220,1
fig14_hencky.obj,4,1,heuristic,0,1,0.256277,-1,1
fig14_hencky.obj,4,1,heuristic,1,66468,0.256189,13367,1
fig14_hencky.obj,4,1,heuristic,2,23067,0.256162,13157,1
fig14_hencky.obj,4,1,heuristic,3,8733,0.256155,13103,1
fig14_hencky.obj,4,1,heuristic,4,2947,0.256152,13094,1
fig14_hencky.obj,4,1,heuristic,5,991,0.256151,13117,1
fig14_hencky.obj,4,1,heuristic,6,324,0.256151,13111,1
fig14_hencky.obj,4,1,heuristic,7,103,0.256151,13074,1
fig14_hencky.obj,4,1,heuristic,8,29,0.256151,13100,1
fig14_hencky.obj,4,1,heuristic,9,7,0.256151,13132,1
fig14_hencky.obj,4,1,heuristic,10,1,0.256151,13100,1
fig14_hencky.obj,4,1,heuristic,11,0,0.256151,13083,1
fig14_hencky.obj,4,1,edge order,0,3,0.256184,-1,3
fig14_hencky.obj,4,1,edge order,1,79780,0.25609,12285,3
fig14_hencky.obj,4,1,edge order,2,16795,0.256077,12712,3
fig14_hencky.obj,4,1,edge order,3,1975,0.256076,12811,3
fig14_hencky.obj,4,1,edge order,4,134,0.256076,12835,3
fig14_hencky.obj,4,1,edge order,5,6,0.256076,12837,3
fig14_hencky.obj,4,1,edge order,6,0,0.256076,12836,3
fig14_hencky.obj,4,1,greedy,0,3,0.256184,-1,3
fig14_hencky.obj,4,1,greedy,1,64856,0.256108,13197,3
fig14_hencky.obj,4,1,greedy,2,22079,0.256085,12907,3
fig14_hencky.obj,4,1,greedy,3,8224,0.256079,12899,3
fig14_hencky.obj,4,1,greedy,4,2637,0.256077,12894,3
fig14_hencky.obj,4,1,greedy,5,763,0.256076,12909,3
fig14_hencky.obj,4,1,greedy,6,215,0.256076,12886,3
fig14_hencky.obj,4,1,greedy,7,52,0.256076,12863,3
fig14_hencky.obj,4,1,greedy,8,12,0.256076,12870,3
fig14_hencky.obj,4,1,greedy,9,4,0.256076,12883,3
fig14_hencky.obj,4,1,greedy,10,3,0.256076,12886,3
fig14_hencky.obj,4,1,greedy,11,2,0.256076,12854,3
fig14_hencky.obj,4,1,greedy,12,0,0.256076,12880,3
fig14_hencky.obj,4,1,random,0,3,0.256184,-1,3
fig14_hencky.obj,4,1,random,1,79391,0.256091,12737,3
fig14_hencky.obj,4,1,random,2,16403,0.256078,13125,3
fig14_hencky.obj,4,1,random,3,2671,0.256076,13217,3
fig14_hencky.obj,4,1,random,4,339,0.256076,13199,3
fig14_hencky.obj,4,1,random,5,35,0.256076,13209,3
fig14_hencky.obj,4,1,random,6,3,0.256076,13238,3
fig14_hencky.obj,4,1,random,7,1,0.256076,13204,3
fig14_hencky.obj,4,1,random,8,0,0.256076,13195,3
fig14_hencky.obj,4,1,heuristic,0,3,0.256184,-1,3
fig14_hencky.obj,4,1,heuristic,1,64856,0.256108,13372,3
fig14_hencky.obj,4,1,heuristic,2,22079,0.256085,13096,3
fig14_hencky.obj,4,1,heuristic,3,8224,0.256079,13073,3
fig14_hencky.obj,4,1,heuristic,4,2637,0.256077,13088,3
fig14_hencky.obj,4,1,heuristic,5,763,0.256076,13129,3
fig14_hencky.obj,4,1,heuristic,6,215,0.256076,13115,3
fig14_hencky.obj,4,1,heuristic,7,52,0.256076,13103,3
fig14_hencky.obj,4,1,heuristic,8,12,0.256076,13079,3
fig14_hencky.obj,4,1,heuristic,9,4,0.256076,13066,3
fig14_hencky.obj,4,1,heuristic,10,3,0.256076,13080,3
fig14_hencky.obj,4,1,heuristic,11,2,0.256076,13090,3
fig14_hencky.obj,4,1,heuristic,12,0,0.256076,13068,3
fig14_hencky.obj,4,1,edge order,0,10,0.256168,-1,10
fig14_hencky.obj,4,1,edge order,1,78082,0.256079,12281,10
fig14_hencky.obj,4,1,edge order,2,16241,0.256067,12741,10
fig14_hencky.obj,4,1,edge order,3,1864,0.256066,12783,10
fig14_hencky.obj,4,1,edge order,4,122,0.256066,12796,10
fig14_hencky.obj,4,1,edge order,5,6,0.256066,12800,10
fig14_hencky.obj,4,1,edge order,6,0,0.256066,12793,10
fig14_hencky.obj,4,1,greedy,0,10,0.256168,-1,10
fig14_hencky.obj,4,1,greedy,1,63772,0.256096,13170,10
fig14_hencky.obj,4,1,greedy,2,21373,0.256075,12893,10
fig14_hencky.obj,4,1,greedy,3,7840,0.256069,12869,10
fig14_hencky.obj,4,1,greedy,4,2484,0.256067,12889,10
fig14_hencky.obj,4,1,greedy,5,712,0.256066,12868,10
fig14_hencky.obj,4,1,greedy,6,210,0.256066,12888,10
fig14_hencky.obj,4,1,greedy,7,46,0.256066,12875,10
fig14_hencky.obj,4,1,greedy,8,15,0.256066,12887,10
fig14_hencky.obj,4,1,greedy,9,3,0.256066,12860,10
fig14_hencky.obj,4,1,greedy,10,3,0.256066,12872,10
fig14_hencky.obj,4,1,greedy,11,2,0.256066,12862,10
fig14_hencky.obj,4,1,greedy,12,0,0.256066,12879,10
fig14_hencky.obj,4,1,random,0,10,0.256168,-1,10
fig14_hencky.obj,4,1,random,1,77813,0.25608,12736,10
fig14_hencky.obj,4,1,random,2,15751,0.256068,13112,10
fig14_hencky.obj,4,1,random,3,2519,0.256066,13224,10
