mesh_name,type,is_free_boundary,flipping_order,iteration,is_flip,int_energy,ext_energy,conformal_min,conformal_max,isometric_min,conformal_min_int,conformal_max_int,isometric_min_int,isometric_max,auhalic_min,authalic_max,isometric_max_int,auhalic_min_int,authalic_max_int,ext_flip_percentage,ext_max_area_dist,ext_avg_area_err,ext_max_angle_dist,ext_avg_angle_error,int_flip_percentage,int_max_area_dist,int_avg_area_err,int_max_angle_dist,int_avg_angle_error,time
fig14_hencky.obj,3,0,greedy,11,0,1.00217,1.01414,0.0015737,11.9093,0.10127,0.000892281,6.56461,0.160425,7.71537,0.0124342,25.7153,3.35312,7.45196e-07,37.4694,0.292589,11.152,430.976,206536,664.186,0.295153,-1.99496,430.976,206536,28571,134923
fig14_hencky.obj,3,0,greedy,12,1,1.00215,1.01414,0.0015737,11.9093,0.10127,1.86698e-07,1.4077,0.999865,7.71537,0.0124342,25.7153,1.41398,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00327588,39.6573,288.283,11434.7,1116.76,99289
fig14_hencky.obj,3,0,greedy,13,0,1.00178,1.01375,0.000286782,11.5349,0.128018,0.00155527,6.5865,0.151505,7.45156,0.00319145,26.1095,3.37431,9.14833e-06,38.3432,0.291924,11.2582,430.977,133833,664.531,0.29437,-1.99511,430.977,121053,28564,139325
fig14_hencky.obj,3,0,greedy,14,1,1.00177,1.01375,0.000286782,11.5349,0.128018,1.86698e-07,1.4077,0.999865,7.45156,0.00319145,26.1095,1.41398,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00330624,39.6573,288.283,11434.7,1117.11,86038
fig14_hencky.obj,3,0,greedy,15,0,1.0015,1.01346,0.000930682,11.1755,0.167172,0.000855107,6.70931,0.174306,7.1983,0.000366809,26.5476,3.42895,0.000118294,40.6898,0.291374,11.2871,430.976,2.66267e+06,664.78,0.293621,-1.99519,430.976,687534,28573.6,167262
fig14_hencky.obj,3,0,greedy,16,1,1.00149,1.01346,0.000930682,11.1755,0.167172,1.86698e-07,1.4077,0.999865,7.1983,0.000366809,26.5476,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00332986,39.6573,288.283,11434.7,1117.38,86255
fig14_hencky.obj,3,0,greedy,17,0,1.00128,1.01323,0.00112062,10.8785,0.200962,0.00128699,6.77283,0.240754,6.98938,1.4675e-05,26.8814,3.45878,7.68072e-05,42.0106,0.29097,11.3093,430.976,27020.1,664.971,0.293112,-1.99543,430.976,350901,28575.8,185591
fig14_hencky.obj,3,0,greedy,18,1,1.00128,1.01323,0.00112062,10.8785,0.200962,1.86698e-07,1.4077,0.999865,6.98938,1.4675e-05,26.8814,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00333323,39.6573,288.283,11434.7,1117.97,70779
fig14_hencky.obj,3,0,greedy,19,0,1.00112,1.01306,0.00105573,10.6053,0.227058,0.00105573,6.82646,0.282712,6.79707,0.000349955,27.2646,3.48246,8.2399e-06,43.0794,0.290571,11.328,430.977,285899,665.181,0.292754,-1.99553,430.977,42764.5,28574.1,181435
fig14_hencky.obj,3,0,greedy,20,1,1.00112,1.01306,0.00105573,10.6053,0.227058,1.86698e-07,1.4077,0.999865,6.79707,0.000349955,27.2646,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00333998,39.6573,288.283,11434.7,1118.14,104338
fig14_hencky.obj,3,0,greedy,21,0,1.00099,1.01291,0.000812527,10.2386,0.246654,0.000812527,6.84313,0.292655,6.53685,0.000803959,27.5649,3.4907,0.00025522,43.4577,0.290288,11.3462,430.978,525300,665.357,0.292508,-1.99567,430.978,261475,28569.2,186086
fig14_hencky.obj,3,0,greedy,22,1,1.00099,1.01291,0.000812527,10.2386,0.246654,1.86698e-07,1.4077,0.999865,6.53685,0.000803959,27.5649,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00335685,39.6573,288.283,11434.7,1118.2,70873
fig14_hencky.obj,3,0,greedy,23,0,1.00088,1.01279,0.000993109,10.4048,0.262656,0.00127821,6.84936,0.326719,6.29854,0.00132183,27.7984,3.49408,0.000386236,43.6139,0.290072,11.3318,430.979,90448.2,665.499,0.2921,-1.99578,430.979,942747,28567.9,172516
fig14_hencky.obj,3,0,greedy,24,1,1.00088,1.01279,0.000993109,10.4048,0.262656,1.86698e-07,1.4077,0.999865,6.29854,0.00132183,27.7984,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00337372,39.6573,288.283,11434.7,1118.9,62874
