mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time
fig14_hencky.obj,4,0,greedy,16,0,1.37158,8180
fig14_hencky.obj,4,0,random,1,143839,1.37912,9743
fig14_hencky.obj,4,0,random,2,43288,1.37436,8728
fig14_hencky.obj,4,0,random,3,12738,1.37243,8488
fig14_hencky.obj,4,0,random,4,3368,1.37186,8417
fig14_hencky.obj,4,0,random,5,832,1.37171,8379
fig14_hencky.obj,4,0,random,6,210,1.37167,9381
fig14_hencky.obj,4,0,random,7,63,1.37166,11337
fig14_hencky.obj,4,0,random,8,12,1.37166,11577
fig14_hencky.obj,4,0,random,9,0,1.37166,11482
fig14_hencky.obj,4,0,heuristic,1,100023,1.3846,18222
fig14_hencky.obj,4,0,heuristic,2,54230,1.37983,14273
fig14_hencky.obj,4,0,heuristic,3,29558,1.37621,12659
fig14_hencky.obj,4,0,heuristic,4,14201,1.37387,12175
fig14_hencky.obj,4,0,heuristic,5,6490,1.37265,11832
fig14_hencky.obj,4,0,heuristic,6,2870,1.37208,11689
fig14_hencky.obj,4,0,heuristic,7,1235,1.3718,11444
fig14_hencky.obj,4,0,heuristic,8,482,1.37169,11423
fig14_hencky.obj,4,0,heuristic,9,186,1.37163,11524
fig14_hencky.obj,4,0,heuristic,10,72,1.37159,11439
fig14_hencky.obj,4,0,heuristic,11,34,1.37158,11632
fig14_hencky.obj,4,0,heuristic,12,13,1.37158,11376
fig14_hencky.obj,4,0,heuristic,13,5,1.37158,11568
fig14_hencky.obj,4,0,heuristic,14,5,1.37158,11531
fig14_hencky.obj,4,0,heuristic,15,3,1.37158,11587
fig14_hencky.obj,4,0,heuristic,16,0,1.37158,11594
fig14_hencky.obj,4,0,start,0,3,1.00201,-1
fig14_hencky.obj,4,0,edge order,1,73556,1.00152,15852
fig14_hencky.obj,4,0,edge order,2,12204,1.00148,15211
fig14_hencky.obj,4,0,edge order,3,1339,1.00148,15180
fig14_hencky.obj,4,0,edge order,4,123,1.00148,15621
fig14_hencky.obj,4,0,edge order,5,5,1.00148,15284
fig14_hencky.obj,4,0,edge order,6,0,1.00148,15041
fig14_hencky.obj,4,0,greedy,1,62834,1.00158,17242
